ID	NCBI_GENE_ID	ENSEMBL_ID	OFFICIAL_SYMBOL	OFFICIAL_NAME
950390	29311	ENSRNOG00000039786	Msmb	microseminoprotein, beta
950396	29313	ENSRNOG00000019138	Clec11a	C-type lectin domain containing 11A
950405	29316	ENSRNOG00000002922	Adora2b	adenosine A2B receptor
950413	29317	ENSRNOG00000003772	Csrp2	cysteine and glycine-rich protein 2
950423	29318	ENSRNOG00000068887	Ddt	D-dopachrome tautomerase
950429	29319	ENSRNOG00000021001	Cblif	cobalamin binding intrinsic factor
950436	29322	ENSRNOG00000021150	Plcb3	phospholipase C beta 3
950447	29323	ENSRNOG00000016253	Slc6a18	solute carrier family 6 member 18
950456	29324	ENSRNOG00000067096	Capza3	capping actin protein of muscle Z-line subunit alpha 3
950465	29326	ENSRNOG00000055672	Gpx2	glutathione peroxidase 2
950471	29328	ENSRNOG00000013604	Gpx4	glutathione peroxidase 4
950492	29331	ENSRNOG00000032002	Hapln1	hyaluronan and proteoglycan link protein 1
950498	29332	ENSRNOG00000016810	Stmn1	stathmin 1
950510	29333	ENSRNOG00000008193	Cd46	CD46 molecule
950516	29335	ENSRNOG00000007647	Oprk1	opioid receptor, kappa 1
950531	29336	ENSRNOG00000014604	Sigmar1	sigma non-opioid intracellular receptor 1
950542	29337	ENSRNOG00000051986	Plcg2	phospholipase C, gamma 2
950548	29338	ENSRNOG00000003520	Prdx2	peroxiredoxin 2
950556	29339	ENSRNOG00000009086	Apcs	amyloid P component, serum
950564	29340	ENSRNOG00000015603	Prkce	protein kinase C, epsilon
950575	29344	ENSRNOG00000058646	Zfp36l1	zinc finger protein 36, C3H type-like 1
950581	29345	ENSRNOG00000016831	Serpinh1	serpin family H member 1
950602	29348	ENSRNOG00000009425	Fgf7	fibroblast growth factor 7
950610	29349	ENSRNOG00000017524	Fgf8	fibroblast growth factor 8
950615	29353	ENSRNOG00000000920	Phkg1	phosphorylase kinase catalytic subunit gamma 1
950623	29354	ENSRNOG00000016838	Pla2g5	phospholipase A2, group V
950633	29355	ENSRNOG00000004131	Pkn1	protein kinase N1
950644	29357	ENSRNOG00000018140	Smad2	SMAD family member 2
950654	29358	ENSRNOG00000014149	Npy1r	neuropeptide Y receptor Y1
950663	29359	ENSRNOG00000003164	Pla2g10	phospholipase A2, group X
950671	29360	ENSRNOG00000053086	Selenop	selenoprotein P
950682	29361	ENSRNOG00000011305	Sox10	SRY-box transcription factor 10
950690	29362	ENSRNOG00000019383	Tef	TEF transcription factor, PAR bZIP family member
950698	29363	ENSRNOG00000012430	Cxcr5	C-X-C motif chemokine receptor 5
950703	29364	ENSRNOG00000001964	Cd47	Cd47 molecule
950713	29365	ENSRNOG00000007894	Mpdz	multiple PDZ domain crumbs cell polarity complex component
950719	29366	ENSRNOG00000015461	Serpine2	serpin family E member 2
950731	29367	ENSRNOG00000011404	Chkb	choline kinase beta
950739	29368	ENSRNOG00000012912	Fgf17	fibroblast growth factor 17
950745	29369	ENSRNOG00000048389	Fgf18	fibroblast growth factor 18
950751	29372	ENSRNOG00000017671	Rasa3	RAS p21 protein activator 3
950768	29373	ENSRNOG00000071010	Bmp2	bone morphogenetic protein 2
950775	29374	ENSRNOG00000009642	Cct4	chaperonin containing TCP1 subunit 4
950786	29375	ENSRNOG00000001284	Uncx	UNC homeobox
950794	29376	ENSRNOG00000023509	Irs2	insulin receptor substrate 2
950808	29380	ENSRNOG00000004019	Phlda1	pleckstrin homology-like domain, family A, member 1
950814	29381	ENSRNOG00000006934	Acvr1b	activin A receptor type 1B
950820	29382	ENSRNOG00000005428	Ctbp1	C-terminal binding protein 1
950835	29383	ENSRNOG00000013223	Fah	fumarylacetoacetate hydrolase
950843	29384	ENSRNOG00000011523	Macroh2a1	macroH2A.1 histone
950856	29385	ENSRNOG00000063618	Cxcr2	C-X-C motif chemokine receptor 2
